Actual,Predicted
108.7,108.1431070241789
35.605,35.442232264441024
44.53,44.85105129193563
66.56,66.2483655521253
126.67,126.92075009924255
82.24,82.75629351641182
55.44,55.29973979749555
72.46,72.55757363538685
56.46,56.62957288002135
64.87,65.20849607406001
39.805,39.996660603467376
68.05,67.14825260045103
35.34,35.5222222242922
48.42,48.03065219601989
86.73,87.11574632830093
50.53,49.720440097876
238.04,239.69659474441977
65.82,66.03839190751597
51.18,50.670320871108714
229.76,234.50724609907473
40.5,39.53171896183241
49.63,49.450473983378274
87.73,88.55556560562212
15.15,15.144779952205026
330.83,327.3355945063649
3.96,4.606102741812544
22.0,22.313880103866705
46.4817,46.94218881734501
62.54,61.22899557146399
38.37,38.82180806815322
119.08,118.67178548959
93.82,93.92489166063231
39.65,40.32161981536277
52.1,52.0701451685043
66.22,65.9284057127206
62.54,62.48883743912002
76.04,77.0970038569411
41.11,40.711570869637264
58.84,58.649319366263555
97.63,95.95463689185591
63.18,62.978775943208475
47.41,47.62070365178262
68.52,68.56807438780942
182.34,182.80373580027066
206.775,209.2204200411216
114.0,112.15260376171912
25.87,25.993418257020817
18.6,18.724330655545167
117.0,118.08185953568757
84.16,84.08612659893762
45.96,46.15088813951726
58.62,58.359355761803045
75.67,75.18724356549427
29.105,28.843060576718972
89.27,90.11536982272004
57.46,57.499463693402895
37.05,37.361991300869256
318.38,313.52732768705556
116.82,116.36207539888727
51.91,51.080269415345995
51.31,52.82005104210908
43.73,44.14114039825645
20.87,20.9840470213409
79.81,80.29660225098816
22.92,23.013792252564496
157.71,156.7070113988243
77.16,77.07700636697831
55.4,55.129761132811794
100.28,100.52406334835437
40.27,40.50159722502792
33.36,34.1623929068222
33.34,33.5124744830314
28.23,27.77319486370949
116.11,114.51230757732883
131.14,130.57029201745246
41.21,41.15151564881874
38.0,38.571839443618295
47.34,47.38073377222909
81.1,81.01651188964874
34.57,34.5023502361897
153.72,153.05746948061443
97.92,97.7044172636004
44.05,44.32111780792159
117.7,117.45193860185955
18.93,18.464363286028846
34.2,34.35236906146874
60.37,60.07913989860334
34.29,34.91229878042698
117.73,117.82189216617125
72.46,72.56757238036823
53.54,54.22987408448606
133.89,134.12984523082986
56.0,56.419599235412015
36.995,37.30199883098087
83.87,83.11624833574211
38.895,39.026782340271865
61.25,61.83891901532921
31.7,32.1226489306172
163.67,162.31630733338807
60.89,61.468965451017525
58.68,58.72930932611473
16.51,16.864564089005317
42.52,42.77131233580506
102.34,101.14398553720098
52.28,51.86017152389497
111.89,111.14273051859801
54.64,55.39972724730952
64.58,64.88853623465532
135.2,135.1797134538765
59.43,59.5192101796451
30.04,30.162894914263383
27.56,27.7431986287653
66.73,66.6383166063998
28.06,27.97316976333743
182.74,183.15369187461954
192.45,192.82247827163047
107.89,108.9130103877465
71.16,71.51770415732155
44.73,43.621205659223804
80.89,80.72654828518822
7.21,7.295765141808348
45.33,46.680821623531294
47.31,47.3607362822663
53.19,54.029899184858124
69.01,68.70805681754898
144.26,142.75876214977546
229.91,232.1375435384836
93.68,93.3549631966927
55.92,56.22962308076547
120.22,120.24158845166934
159.68,159.95660351777838
102.98,101.8039027059732
47.26,47.12076640271277
168.76,168.26556059731934
64.34,64.66856384506458
62.9,62.93878096328289
413.8,415.4445352824356
53.0,51.77018281906239
164.49,163.75612661070926
16.96,16.274638135102894
81.53,81.02651063463014
61.01,60.93903196700348
93.59,94.73479000412549
295.38,296.64944615845735
64.26,64.36860149562266
106.97,106.13335928291811
139.44,136.90949633565822
33.55,33.502475738049995
77.5,78.30685199969015
89.74,89.74541625840835
61.1,61.59894913577568
68.37,68.94802669710252
90.54,89.32546896918969
13.31,13.814946869679218
56.22,56.329610530579444
15.03,15.154778697186424
138.22,138.83925411706787
69.6,71.30773051271221
158.0,157.59689970216868
113.85,113.2724631996356
80.36,80.67655456028123
41.38,40.27162609045579
66.84,66.9882726807487
54.53,54.319862789318634
37.44,37.331995065925064
53.52,52.89004225697886
988.29,990.862310216854
66.76,64.70855882499016
42.5,42.43135500643755
142.43,141.9688612962451
52.15,52.7600585722207
41.71,43.281248329856304
35.37,35.122272425036314
27.01,26.92330154029074
65.95,65.91840696773922
63.04,62.44884245919443
44.51,44.84105254695424
37.29,37.30199883098087
34.61,35.71219837893874
82.86,82.42633493202572
36.94,36.75206785700403
58.74,59.869166253993995
82.84,82.4863274019141
78.08,77.61693859597374
